beat_index,time_sec,confidence
0,0.963628,1.0
1,1.323537,1.0
2,1.706667,1.0
3,2.089796,1.0
4,2.461315,1.0
5,2.832834,1.0
6,3.204354,1.0
7,3.575873,1.0
8,3.959002,1.0
9,4.342132,1.0
10,4.713651,1.0
11,5.085170,1.0
12,5.456689,1.0
13,5.828209,1.0
14,6.211338,1.0
15,6.594467,1.0
16,6.965986,1.0
17,7.349116,1.0
18,7.732245,1.0
19,8.103764,1.0
20,8.475283,1.0
21,8.846803,1.0
22,9.218322,1.0
23,9.589841,1.0
24,9.961361,1.0
25,10.321270,1.0
26,10.704399,1.0
27,11.075918,1.0
28,11.447438,1.0
29,11.830567,1.0
30,12.202086,1.0
31,12.573605,1.0
32,12.945125,1.0
33,13.316644,1.0
34,13.688163,1.0
35,14.059683,1.0
36,14.431202,1.0
37,14.802721,1.0
38,15.185850,1.0
39,15.568980,1.0
40,15.940499,1.0
41,16.312018,1.0
42,16.683537,1.0
43,17.055057,1.0
44,17.426576,1.0
45,17.798095,1.0
46,18.169615,1.0
47,18.541134,1.0
48,18.912653,1.0
49,19.284172,1.0
50,19.655692,1.0
51,20.038821,1.0
52,20.387120,1.0
53,20.735420,1.0
54,21.083719,1.0
55,21.432018,1.0
56,21.768707,1.0
57,22.128617,1.0
58,22.534966,1.0
59,22.906485,1.0
60,23.219955,1.0
61,23.545034,1.0
62,23.858503,1.0
63,24.230023,1.0
64,24.601542,1.0
65,24.961451,1.0
66,25.391020,1.0
67,25.750930,1.0
68,26.099229,1.0
69,26.447528,1.0
70,26.853878,1.0
71,27.260227,1.0
72,27.620136,1.0
73,27.968435,1.0
74,28.363175,1.0
75,28.734694,1.0
76,29.094603,1.0
77,29.628662,1.0
78,29.965351,1.0
79,30.302041,1.0
80,30.661950,1.0
81,30.998639,1.0
82,31.358549,1.0
83,31.718458,1.0
84,32.066757,1.0
85,32.461497,1.0
86,32.856236,1.0
87,33.250975,1.0
88,33.634104,1.0
89,33.994014,1.0
90,34.330703,1.0
91,34.679002,1.0
92,35.062132,1.0
93,35.422041,1.0
94,35.781950,1.0
95,36.199909,1.0
96,36.617868,1.0
97,37.000998,1.0
98,37.349297,1.0
99,37.697596,1.0
100,38.080726,1.0
101,38.463855,1.0
102,38.846984,1.0
103,39.218503,1.0
104,39.590023,1.0
105,39.973152,1.0
106,40.356281,1.0
107,40.762630,1.0
108,41.087710,1.0
109,41.436009,1.0
110,41.784308,1.0
111,42.144218,1.0
112,42.538957,1.0
113,42.933696,1.0
114,43.340045,1.0
115,43.723175,1.0
116,44.094694,1.0
117,44.466213,1.0
118,44.837732,1.0
119,45.232472,1.0
120,45.592381,1.0
121,45.963900,1.0
122,46.335420,1.0
123,46.706939,1.0
124,47.078458,1.0
125,47.461587,1.0
126,47.821497,1.0
127,48.216236,1.0
128,48.587755,1.0
129,48.959274,1.0
130,49.342404,1.0
131,49.713923,1.0
132,50.085442,1.0
133,50.456961,1.0
134,50.828481,1.0
135,51.211610,1.0
136,51.583129,1.0
137,51.966259,1.0
138,52.337778,1.0
139,52.720907,1.0
140,53.115646,1.0
141,53.463946,1.0
142,53.835465,1.0
143,54.218594,1.0
144,54.590113,1.0
145,54.938413,1.0
146,55.309932,1.0
147,55.693061,1.0
148,56.076190,1.0
149,56.447710,1.0
150,56.830839,1.0
151,57.213968,1.0
152,57.597098,1.0
153,57.980227,1.0
154,58.363356,1.0
155,58.723265,1.0
156,59.071565,1.0
157,59.477914,1.0
158,59.884263,1.0
159,60.255782,1.0
160,60.604082,1.0
161,60.963991,1.0
162,61.358730,1.0
163,61.730249,1.0
164,62.101769,1.0
165,62.484898,1.0
166,62.856417,1.0
167,63.239546,1.0
168,63.622676,1.0
169,63.982585,1.0
170,64.354104,1.0
171,64.714014,1.0
172,65.085533,1.0
173,65.457052,1.0
174,65.840181,1.0
175,66.211701,1.0
176,66.594830,1.0
177,66.954739,1.0
178,67.337868,1.0
179,67.720998,1.0
180,68.092517,1.0
181,68.464036,1.0
182,68.847166,1.0
183,69.218685,1.0
184,69.590204,1.0
185,69.961723,1.0
186,70.333243,1.0
187,70.704762,1.0
188,71.087891,1.0
189,71.459410,1.0
190,71.830930,1.0
191,72.214059,1.0
192,72.585578,1.0
193,72.968707,1.0
194,73.351837,1.0
195,73.711746,1.0
196,74.071655,1.0
197,74.466395,1.0
198,74.837914,1.0
199,75.232653,1.0
200,75.592562,1.0
201,75.964082,1.0
202,76.358821,1.0
203,76.730340,1.0
204,77.090249,1.0
205,77.461769,1.0
206,77.844898,1.0
207,78.216417,1.0
208,78.564717,1.0
209,78.947846,1.0
210,79.342585,1.0
211,79.725714,1.0
212,80.108844,1.0
213,80.468753,1.0
214,80.851882,1.0
215,81.200181,1.0
216,81.583311,1.0
217,81.931610,1.0
218,82.349569,1.0
219,82.721088,1.0
220,83.104218,1.0
221,83.475737,1.0
222,83.858866,1.0
223,84.230385,1.0
224,84.601905,1.0
225,84.973424,1.0
226,85.356553,1.0
227,85.728073,1.0
228,86.099592,1.0
229,86.471111,1.0
230,86.854240,1.0
231,87.225760,1.0
232,87.608889,1.0
233,87.980408,1.0
234,88.351927,1.0
235,88.723447,1.0
236,89.094966,1.0
237,89.466485,1.0
238,89.838005,1.0
239,90.209524,1.0
240,90.581043,1.0
241,90.952562,1.0
242,91.324082,1.0
243,91.718821,1.0
244,92.078730,1.0
245,92.485079,1.0
246,92.844989,1.0
247,93.228118,1.0
248,93.599637,1.0
249,93.971156,1.0
250,94.342676,1.0
251,94.714195,1.0
252,95.097324,1.0
253,95.480454,1.0
254,95.863583,1.0
255,96.211882,1.0
256,96.583401,1.0
257,96.966531,1.0
258,97.314830,1.0
259,97.697959,1.0
260,98.092698,1.0
261,98.464218,1.0
262,98.847347,1.0
263,99.184036,1.0
264,99.590385,1.0
265,99.961905,1.0
266,100.321814,1.0
267,100.716553,1.0
268,101.088073,1.0
269,101.424762,1.0
270,101.842721,1.0
271,102.202630,1.0
272,102.597370,1.0
273,102.957279,1.0
274,103.340408,1.0
275,103.735147,1.0
276,104.095057,1.0
277,104.454966,1.0
278,104.826485,1.0
279,105.221224,1.0
280,105.569524,1.0
281,105.975873,1.0
282,106.347392,1.0
283,106.684082,1.0
284,107.078821,1.0
285,107.473560,1.0
286,107.845079,1.0
287,108.216599,1.0
288,108.599728,1.0
289,108.924807,1.0
290,109.342766,1.0
291,109.725896,1.0
292,110.097415,1.0
293,110.468934,1.0
294,110.852063,1.0
295,111.223583,1.0
296,111.606712,1.0
297,111.966621,1.0
298,112.349751,1.0
299,112.721270,1.0
300,113.092789,1.0
301,113.464308,1.0
302,113.777778,1.0
303,114.218957,1.0
304,114.602086,1.0
305,114.973605,1.0
306,115.345125,1.0
307,115.728254,1.0
308,116.099773,1.0
309,116.471293,1.0
310,116.854422,1.0
311,117.214331,1.0
312,117.597460,1.0
313,117.980590,1.0
314,118.352109,1.0
315,118.712018,1.0
316,119.060317,1.0
317,119.420227,1.0
318,119.849796,1.0
319,120.256145,1.0
320,120.627664,1.0
321,120.999184,1.0
322,121.370703,1.0
323,121.742222,1.0
324,122.102132,1.0
325,122.496871,1.0
326,122.880000,1.0
327,123.251519,1.0
328,123.623039,1.0
329,123.994558,1.0
330,124.366077,1.0
331,124.737596,1.0
332,125.109116,1.0
333,125.480635,1.0
334,125.852154,1.0
335,126.223673,1.0
336,126.595193,1.0
337,126.885442,1.0
338,127.303401,1.0
339,127.721361,1.0
340,128.092880,1.0
341,128.476009,1.0
342,128.847528,1.0
343,129.230658,1.0
344,129.602177,1.0
345,129.962086,1.0
346,130.333605,1.0
347,130.728345,1.0
348,131.099864,1.0
349,131.482993,1.0
350,131.854512,1.0
351,132.226032,1.0
352,132.597551,1.0
353,132.980680,1.0
354,133.352200,1.0
355,133.723719,1.0
356,134.095238,1.0
357,134.466757,1.0
358,134.838277,1.0
359,135.209796,1.0
360,135.604535,1.0
361,135.987664,1.0
362,136.359184,1.0
363,136.730703,1.0
364,137.102222,1.0
365,137.485351,1.0
366,137.856871,1.0
367,138.216780,1.0
368,138.599909,1.0
369,138.971429,1.0
370,139.354558,1.0
371,139.726077,1.0
372,140.097596,1.0
373,140.469116,1.0
374,140.852245,1.0
375,141.223764,1.0
376,141.606893,1.0
377,141.955193,1.0
378,142.349932,1.0
379,142.721451,1.0
380,143.104580,1.0
381,143.476100,1.0
382,143.859229,1.0
383,144.195918,1.0
384,144.590658,1.0
385,144.962177,1.0
386,145.333696,1.0
387,145.716825,1.0
388,146.099955,1.0
389,146.483084,1.0
390,146.854603,1.0
391,147.237732,1.0
392,147.609252,1.0
393,147.969161,1.0
394,148.317460,1.0
395,148.700590,1.0
396,149.095329,1.0
397,149.478458,1.0
398,149.849977,1.0
399,150.221497,1.0
400,150.581406,1.0
401,150.964535,1.0
402,151.347664,1.0
403,151.719184,1.0
404,152.102313,1.0
405,152.462222,1.0
406,152.845351,1.0
407,153.228481,1.0
408,153.600000,1.0
409,153.959909,1.0
410,154.343039,1.0
411,154.726168,1.0
412,155.097687,1.0
413,155.469206,1.0
414,155.840726,1.0
415,156.223855,1.0
416,156.606984,1.0
417,156.978503,1.0
418,157.350023,1.0
419,157.721542,1.0
420,158.104671,1.0
421,158.476190,1.0
422,158.847710,1.0
423,159.230839,1.0
424,159.613968,1.0
425,159.973878,1.0
426,160.357007,1.0
427,160.728526,1.0
428,161.076825,1.0
429,161.483175,1.0
430,161.866304,1.0
431,162.237823,1.0
432,162.597732,1.0
433,162.969252,1.0
434,163.352381,1.0
435,163.723900,1.0
436,164.095420,1.0
437,164.466939,1.0
438,164.850068,1.0
439,165.221587,1.0
440,165.593107,1.0
441,165.964626,1.0
442,166.347755,1.0
443,166.730884,1.0
444,167.102404,1.0
445,167.485533,1.0
446,167.857052,1.0
447,168.240181,1.0
448,168.611701,1.0
449,168.983220,1.0
450,169.354739,1.0
451,169.737868,1.0
452,170.109388,1.0
453,170.480907,1.0
454,170.864036,1.0
455,171.235556,1.0
456,171.607075,1.0
457,171.990204,1.0
458,172.361723,1.0
459,172.733243,1.0
460,173.116372,1.0
461,173.487891,1.0
462,173.859410,1.0
463,174.230930,1.0
464,174.602449,1.0
465,174.973968,1.0
466,175.357098,1.0
467,175.740227,1.0
468,176.111746,1.0
469,176.483265,1.0
470,176.854785,1.0
471,177.237914,1.0
472,177.609433,1.0
473,177.980952,1.0
474,178.364082,1.0
475,178.747211,1.0
476,179.130340,1.0
477,179.501859,1.0
478,179.873379,1.0
479,180.244898,1.0
480,180.616417,1.0
481,180.987937,1.0
482,181.359456,1.0
483,181.742585,1.0
484,182.114104,1.0
485,182.485624,1.0
486,182.845533,1.0
487,183.205442,1.0
488,183.565351,1.0
489,183.971701,1.0
490,184.354830,1.0
491,184.726349,1.0
492,185.074649,1.0
493,185.422948,1.0
494,185.771247,1.0
495,186.131156,1.0
496,186.502676,1.0
497,186.897415,1.0
498,187.292154,1.0
499,187.698503,1.0
500,188.093243,1.0
501,188.511202,1.0
502,188.871111,1.0
503,189.277460,1.0
504,189.637370,1.0
505,190.008889,1.0
506,190.357188,1.0
507,190.670658,1.0
508,191.123447,1.0
509,191.529796,1.0
510,191.889705,1.0
511,192.272834,1.0
512,192.621134,1.0
513,192.992653,1.0
514,193.375782,1.0
515,193.770522,1.0
516,194.142041,1.0
517,194.525170,1.0
518,194.873469,1.0
519,195.256599,1.0
520,195.709388,1.0
521,196.104127,1.0
522,196.405986,1.0
523,196.742676,1.0
524,197.137415,1.0
525,197.508934,1.0
526,197.892063,1.0
527,198.275193,1.0
528,198.635102,1.0
529,198.983401,1.0
530,199.343311,1.0
531,199.691610,1.0
532,200.051519,1.0
533,200.411429,1.0
534,200.759728,1.0
535,201.108027,1.0
536,201.456327,1.0
537,201.827846,1.0
538,202.199365,1.0
539,202.570884,1.0
540,202.942404,1.0
541,203.244263,1.0
542,203.592562,1.0
543,203.940862,1.0
544,204.289161,1.0
545,204.660680,1.0
546,205.032200,1.0
547,205.403719,1.0
548,205.775238,1.0
549,206.135147,1.0
550,206.483447,1.0
551,206.866576,1.0
552,207.238095,1.0
553,207.621224,1.0
554,207.992744,1.0
555,208.364263,1.0
556,208.747392,1.0
557,209.118912,1.0
558,209.490431,1.0
559,209.861950,1.0
560,210.245079,1.0
561,210.616599,1.0
562,210.988118,1.0
563,211.371247,1.0
564,211.742766,1.0
565,212.114286,1.0
566,212.497415,1.0
567,212.868934,1.0
568,213.240454,1.0
569,213.611973,1.0
570,213.995102,1.0
571,214.366621,1.0
572,214.738141,1.0
573,215.121270,1.0
574,215.492789,1.0
575,215.864308,1.0
576,216.247438,1.0
577,216.618957,1.0
578,216.990476,1.0
579,217.373605,1.0
580,217.745125,1.0
581,218.116644,1.0
582,218.488163,1.0
583,218.871293,1.0
584,219.242812,1.0
585,219.614331,1.0
586,219.997460,1.0
587,220.368980,1.0
588,220.740499,1.0
589,221.123628,1.0
590,221.495147,1.0
591,221.878277,1.0
592,222.249796,1.0
593,222.632925,1.0
594,223.016054,1.0
595,223.364354,1.0
